Date,Orange Juice (liters),Apple Juice (liters)
2026-01-01,124,97
2026-01-02,119,97
2026-01-03,140,106
2026-01-04,133,107
2026-01-05,123,94
2026-01-06,124,98
2026-01-07,125,96
2026-01-08,121,103
2026-01-09,121,98
2026-01-10,132,112
2026-01-11,134,115
2026-01-12,126,105
2026-01-13,127,106
2026-01-14,131,98
2026-01-15,106,83
2026-01-16,123,101
2026-01-17,147,117
2026-01-18,142,117
2026-01-19,137,107
2026-01-20,136,104
2026-01-21,128,105
2026-01-22,127,110
2026-01-23,132,106
2026-01-24,144,116
2026-01-25,145,115
2026-01-26,135,109
2026-01-27,132,103
2026-01-28,132,114
2026-01-29,142,105
2026-01-30,133,108
2026-01-31,150,121
2026-02-01,159,125
2026-02-02,142,114
2026-02-03,133,116
2026-02-04,143,111
2026-02-05,136,108
2026-02-06,139,111
2026-02-07,156,129
2026-02-08,162,130
2026-02-09,145,116
2026-02-10,140,112
2026-02-11,144,115
2026-02-12,140,111
2026-02-13,146,118
2026-02-14,124,107
2026-02-15,157,132
2026-02-16,146,121
2026-02-17,150,122
2026-02-18,141,118
2026-02-19,147,122
2026-02-20,154,122
2026-02-21,173,127
2026-02-22,167,135
2026-02-23,150,120
2026-02-24,158,127
2026-02-25,153,118
2026-02-26,153,119
2026-02-27,154,124
2026-02-28,176,132
2026-03-01,166,137
2026-03-02,160,121
2026-03-03,150,123
2026-03-04,159,131
2026-03-05,160,132
2026-03-06,155,123
2026-03-07,176,133
2026-03-08,169,143
2026-03-09,158,126
2026-03-10,161,129
2026-03-11,158,127
2026-03-12,164,135
2026-03-13,169,133
2026-03-14,176,151
2026-03-15,174,138
2026-03-16,163,131
2026-03-17,159,133
2026-03-18,172,132
2026-03-19,172,127
2026-03-20,174,137
2026-03-21,177,146
2026-03-22,186,150
2026-03-23,162,142
2026-03-24,168,135
2026-03-25,173,139
2026-03-26,176,138
2026-03-27,163,135
2026-03-28,183,155
2026-03-29,197,147
2026-03-30,167,134
2026-03-31,166,143
2026-04-01,175,147
2026-04-02,168,147
2026-04-03,167,138
2026-04-04,194,157
2026-04-05,198,156
2026-04-06,170,144
2026-04-07,180,142
2026-04-08,177,150
2026-04-09,178,149
2026-04-10,172,146
2026-04-11,189,164
2026-04-12,199,164
2026-04-13,190,140
2026-04-14,188,152
2026-04-15,187,154
2026-04-16,180,146
2026-04-17,177,151
2026-04-18,207,157
2026-04-19,202,156
2026-04-20,184,150
2026-04-21,190,149
2026-04-22,190,145
2026-04-23,196,149
2026-04-24,187,150
2026-04-25,208,169
2026-04-26,201,168
2026-04-27,187,151
2026-04-28,199,149
2026-04-29,198,152
2026-04-30,188,147
2026-05-01,183,151
2026-05-02,213,166
2026-05-03,212,175
2026-05-04,186,151
2026-05-05,196,156
2026-05-06,197,162
2026-05-07,204,164
2026-05-08,188,165
2026-05-09,206,175
2026-05-10,218,172
2026-05-11,202,158
2026-05-12,198,162
2026-05-13,195,160
2026-05-14,210,160
